
-------------------------------------------------------------------------------------------------------
                        Lexeme 	--->	 Token 	                   Line Number
                             ) 	--->	PARENTHESIS 	                            22
                             ; 	--->	SEMICOLON 	                            22
                             i 	--->	IDENTIFIER 	                            23
                            -- 	--->	OPERATOR: UNARY 	                    23
                             ; 	--->	SEMICOLON 	                            23
/*
this is multiline comment to test the functionality of the analyzer
*/ 
                               	--->	MULTILINE COMMENT 	                    24
                        printf 	--->	INBUILT LIBRARY FUNCTION: STDIO 	     27
                             ( 	--->	PARENTHESIS 	                            27
                     "Sum: %d" 	--->	STRING 	                            27
                             , 	--->	COMMA 	                                    27
                             c 	--->	IDENTIFIER 	                            27
                             ) 	--->	PARENTHESIS 	                            27
                             ; 	--->	SEMICOLON 	                            27
                             } 	--->	PARENTHESIS 	                            28
                         check 	--->	IDENTIFIER 	                            29
                             ( 	--->	PARENTHESIS 	                            29
                           int 	--->	KEYWORD: DATATYPE 	                    29
                             a 	--->	IDENTIFIER 	                            29
                             ) 	--->	PARENTHESIS 	                            29
                             ; 	--->	SEMICOLON 	                            29
                             } 	--->	PARENTHESIS 	                            31

-------------------------------------------------------------------------------------------------------

Number of lines: 31 


Number of Identifiers: 35 


Number of Keywords: 7 


Number of Numerical Constants: 11


Number of Comments: 2

